Y1,Y2,Y3,O1,R1,R2,R3,B1,B2,B3,B4,B5,Bk,Col_Reten
,,1.526,,,0.303,,0.12,,,,,,250.016
,,1.514,,,0.288,,,0.466,,,,,248.412
,,1.55,,,,0.098,0.124,,,,,,249.117
,,1.518,,,,0.094,,0.482,,,,,250.318
,,1.458,,0.724,,,0.12,,,,,,249.396
,,1.441,,0.685,,,,0.483,,,,,251.948
,,1.529,,,0.349,,,,,0.311,,,249.969
,,1.528,,,0.349,,,,0.406,,,,248.956
,,1.591,,,,0.109,,,,0.313,,,249.666
,,1.591,,,,0.109,,,0.408,,,,248.891
,,1.49,,0.816,,,,,,0.314,,,249.264
,,1.488,,0.817,,,,,0.409,,,,250.3
,,,0.454,,0.184,,0.133,,,,,,250.264
,,,0.451,,0.164,,,0.534,,,,,250.169
,,,0.457,,,0.06,0.133,,,,,,249.784
,,,0.459,,,0.053,,0.536,,,,,251.821
,,,0.42,0.51,,,0.133,,,,,,249.976
,,,0.44,0.342,,,,0.532,,,,,249.476
,,1.337,,,0.24,,,,,,,0.236,250.871
,,1.353,,,,0.078,,,,,,0.242,249.805
,,1.278,,0.568,,,,,,,,0.242,249.911
,,,0.402,,0.123,,,,,,,0.259,250.227
,,,0.403,,,0.038,,,,,,0.269,249.685
,,,0.392,0.25,,,,,,,,0.269,249.79
0.177,,,0.308,,0.263,,0.131,,,,,,248.367
0.164,,,0.312,,0.244,,,0.502,,,,,249.217
0.186,,,0.309,,,0.083,0.133,,,,,,246.307
0.174,,,0.313,,,0.077,,0.52,,,,,245.269
0.23,,,0.228,0.74,,,0.131,,,,,,248.275
0.206,,,0.246,0.663,,,,0.522,,,,,245.345
0.2,,,0.291,,0.317,,,,,0.346,,,248.368
0.202,,,0.292,,0.311,,,,0.413,,,,249.306
0.21,,,0.298,,,0.1,,,,0.319,,,246.875
0.216,,,0.29,,,0.101,,,0.416,,,,246.876
0.272,,,0.186,0.923,,,,,,0.319,,,250.689
0.266,,,0.187,0.927,,,,,0.416,,,,250.115
0.143,,,0.282,,0.194,,,,,,,0.253,250.163
0.148,,,0.283,,,0.06,,,,,,0.261,250.656
0.178,,,0.227,0.523,,,,,,,,0.262,246.953
,0.418,,0.263,,0.27,,0.128,,,,,,251.095
,0.387,,0.27,,0.25,,,0.497,,,,,250.475
,0.469,,0.248,,,0.092,0.129,,,,,,251.326
,0.422,,0.261,,,0.084,,0.514,,,,,250.346
,0.576,,0.152,0.801,,,0.129,,,,,,250.214
,0.524,,0.174,0.727,,,,0.498,,,,,251.451
,0.524,,0.216,,0.334,,,,,0.313,,,250.586
,0.522,,0.217,,0.334,,,,0.408,,,,250.545
,0.588,,0.193,,,0.114,,,,0.315,,,250.665
,0.593,,0.19,,,0.114,,,0.41,,,,251.174
,0.683,,0.098,0.964,,,,,,0.314,,,249.518
,0.67,,0.105,0.958,,,,,0.41,,,,250.98
,0.328,,0.251,,0.2,,,,,,,0.245,251.213
,0.348,,0.244,,,0.065,,,,,,0.257,251.41
,0.429,,0.176,0.572,,,,,,,,0.249,250.995
,,1.065,0.153,,0.251,,0.124,,,,,,250.652
,,0.964,0.179,,0.224,,,0.497,,,,,250.227
,,1.149,0.136,,,0.082,0.127,,,,,,251.547
,,1.036,0.164,,,0.074,,0.502,,,,,250.903
,,1.302,0.056,0.678,,,0.127,,,,,,250.005
,,1.21,0.08,0.623,,,,0.499,,,,,250.545
,,1.197,0.12,,0.294,,,,,0.313,,,250.895
,,1.197,0.12,,0.295,,,,0.408,,,,250.548
,,1.291,0.101,,,0.097,,,,0.315,,,250.671
,,1.294,0.1,,,0.097,,,0.41,,,,251.563
,,1.465,0,0.819,,,,,,0.324,,,249.379
,,1.492,,0.815,,,,,0.42,,,,250.639
,,0.822,0.169,,0.177,,,,,,,0.247,251.337
,,0.88,0.158,,,0.058,,,,,,0.25,250.496
,,1.005,0.095,0.49,,,,,,,,0.246,250.965
,,,0.4,,0.118,,,,,,,0.269,251.113
,,,0.4,,0.118,,,,,,,0.269,251.578
,,,0.402,,,0.039,,,,,,0.269,250.555
,,,0.402,,,0.039,,,,,,0.27,251.52
,,,0.39,0.265,,,,,,,,0.269,251.759
,,,0.392,0.249,,,,,,,,0.269,251.554
,,0.816,0.172,,0.176,,,,,,,0.247,249.718
,,0.815,0.172,,0.176,,,,,,,0.247,248.734
,,0.872,0.159,,,0.058,,,,,,0.254,248.822
,,0.866,0.16,,,0.058,,,,,,0.254,248.375
,,1.032,0.09,0.492,,,,,,,,0.245,248.98
,,1.013,0.094,0.478,,,,,,,,0.253,249.001
,,1.1,0.148,,0.249,,,,,0.162,0.146,,248.613
,,1.113,0.147,,0.249,,,,0.213,,0.145,,248.677
,,1.282,0.059,0.678,,,,,,0.158,0.151,,249.833
,,1.377,0.04,0.682,,,,,0.208,,0.151,,248.859
,,1.02,0.169,,0.243,,0.124,,,,,,249.608
,,1.02,0.169,,0.243,,0.124,,,,,,249.089
,,0.99,0.171,,0.229,,,0.469,,0.017,,,249.156
,,0.96,0.18,,0.224,,,0.496,0.002,,,,249.783
,,1.283,0.062,0.678,,,0.128,,,,,,249.243
,,1.298,0.058,0.676,,,0.127,,,,,,248.45
,,1.216,0.078,0.63,,,,0.484,,0.008,,,248.534
,,1.189,0.083,0.624,,,,0.499,0,,,,249.542
,,1.505,,,0.289,,,0.466,,,,,248.24
,,1.445,,0.685,,,,0.483,,,,,248.7
,,1.49,,0.816,,,,,,0.314,,,248.32
,,1.346,,,0.24,,,,,,,0.236,247.3
0.206,,,0.243,0.675,,,,0.521,,,,,243.79
0.269,,,0.189,0.909,,,,,,0.354,,,248.95
,0.419,,0.263,,0.271,,0.127,,,,,,249.48
,0.356,,0.242,,,0.067,,,,,,0.249,250.59
,,1.487,,0.684,,,,,,,0.218,,248.864
,0.75,,,0.814,,,,,,,,0.242,247.127
,0.833,,,0.996,,,,0.34,,0.097,,,248.683
,,1.443,,0.705,,,,0.396,0.086,,,,248.323
,0.783,,,0.923,,,,,,0.125,,0.147,248.016
,,1.277,,0.567,,,,,,0.12,,0.243,247.475
,,1.328,,0.609,,,0.032,,,,,0.178,248.723
0.16,,,0.315,,0.243,,,0.497,,0.003,,,245.01
0.206,,,0.249,0.667,,,,0.522,,,,,245.441
,0.383,,0.273,,0.251,,,0.489,0.007,,,,249.968
,0.535,,0.168,0.746,,,,0.473,,0.021,,,249.049
,0.596,,0.146,0.802,,,,,,0.15,0.162,,246.917
,,1.44,,,0.18, ,0.11, ,,,,,250.016
,,1.7,,,0.19, , ,0.42,,,,,248.412
,,1.5,,,,0.05,0.114, ,,,,,249.117
,,1.51,,,,0.045, ,0.43,,,,,250.318
,,1.5,,0.62,, ,0.114, ,,,,,249.396
,,1.46,,0.59,, , ,0.45,,,,,251.948
,,1.48,,,0.2, , , , ,0.33,,,249.969
,,1.6,,,0.23, , , ,0.37, ,,,248.956
,,1.55,,,,0.082, , , ,0.35,,,249.666
,,1.57,,,,0.088, , ,0.41, ,,,248.891
,,1.58,,0.81,, , , , ,0.36,,,249.264
,,1.49,,0.8,, , , ,0.43, ,,,250.3
,,,0.81,,0.16, ,0.15, ,,,,,250.264
,,,0.76,,0.144, , ,0.47,,,,,250.169
,,,0.77,,,0.065,0.16, ,,,,,249.784
,,,0.77,,,0.06, ,0.52,,,,,251.821
,,,0.8,0.47,, ,0.166, ,,,,,249.976
,,,0.85,0.53,, , ,0.53,,,,,249.476
,,1.46,,,0.136, , , ,,,,0.22,250.871
,,1.47,,,,0.054, , ,,,,0.23,249.805
,,1.35,,0.45,, , , ,,,,0.24,249.911
,,,0.74,,0.12, , , ,,,,0.25,250.227
,,,0.7,,,0.042, , ,,,,0.26,249.685
,,,0.72,0.33,, , , ,,,,0.26,249.79
0.24,,,0.284,,0.21, ,0.12, ,,,,,248.367
0.22,,,0.25,,0.186, , ,0.44,,,,,249.217
0.34,,,0.3,,,0.078,0.13, ,,,,,246.307
0.27,,,0.18,,,0.064, ,0.43,,,,,245.269
0.23,,,0.21,0.69,, ,0.13, ,,,,,248.275
0.38,,,0.23,0.82,, , ,0.54,,,,,245.345
0.2,,,0.53,,0.26, , , , ,0.41,,,248.368
0.2,,,0.5,,0.27, , , ,0.37, ,,,249.306
0.38,,,0.31,,,0.1, , , ,0.38,,,246.875
0.34,,,0.3,,,0.11, , ,0.44, ,,,246.876
0.12,,,0.39,0.69,, , , , ,0.35,,,250.689
0.12,,,0.4,0.7,, , , ,0.38,,,,250.115
0.086,,,0.4,,0.15, , , , ,,,0.26,250.163
0.11,,,0.3,,,0.04, , , ,,,0.2,250.656
0.25,,,0.15,0.56,, , , , ,,,0.24,246.953
,0.45,,0.23,,0.23, ,0.13, , ,,,,251.095
,0.43,,0.28,,0.2, , ,0.44, ,,,,250.475
,0.53,,0.12,,,0.08,0.126, , ,,,,251.326
,0.266,,0.37,,,0.062, ,0.45, ,,,,250.346
,0.45,,0.15,0.64,, ,0.124, , ,,,,250.214
,0.49,,0.2,0.67,, , ,0.49, ,,,,251.451
,0.57,,0.29,,0.32, , , , ,0.37,,,250.586
,0.54,,0.28,,0.3, , , ,0.39, ,,,250.545
,0.77,,0.14,,,0.13, , , ,0.44,,,250.665
,0.79,,0.12,,,0.12, , ,0.51, ,,,251.174
,0.68,,0.12,1,, , , , ,0.43,,,249.518
,0.68,,0.12,1,, , , ,0.42, ,,,250.98
,0.28,,0.35,,0.15, , , ,, ,,0.27,251.213
,0.4,,0.16,,,0.057, , ,, ,,0.23,251.41
,0.3,,0.23,0.45,, , , ,, ,,0.27,250.995
,,1.08,0.16,,0.16, ,0.12, ,, ,,,250.652
,,1.23,0.23,,0.18, , ,0.43,, ,,,250.227
,,0.8,0.34,,,0.064,0.13, ,, ,,,251.547
,,1.3,0.13,,,0.075, ,0.44,, ,,,250.903
,,1.2,0.088,0.6,, ,0.13, ,, ,,,250.005
,,1.28,0.12,0.61,, , ,0.46,, ,,,250.545
,,1.26,0.11,,0.21, , ,,,0.31,,,250.895
,,1.6,0.055,,0.23, , ,,0.33, ,,,250.548
,,1.1,0.19,,,0.094, ,, ,0.34,,,250.671
,,1.43,0.057,,,0.093, ,,0.3, ,,,251.563
,,1.5,0.1,0.9,, , ,, ,0.36,,,249.379
,,1.22,0.15,0.82,, ,,,0.36, ,,,250.639
,,0.82,0.26,0,0.12, ,,, , ,,0.23,251.337
,,1.23,0.11,0,,0.056,,, , ,,0.25,250.496
,,0.82,0.23,0.4,, ,,, , ,,0.24,250.965
,,,0.74,0,0.134, ,,, ,0.078,,0.19,251.113
,,,0.77,0,0.14, ,,,0.08, ,,0.2,251.578
,,,0.78,0,,0.055,,, ,0.078,,0.21,250.555
,,,0.77,0,,0.054,,,0.07, ,,0.21,251.52
,,,0.67,0.39,, ,,, ,0.06,,0.22,251.759
,,,0.7,0.4,, ,,,0.06, ,,0.22,251.554
,,1.1,0.13,0,0.16, ,,, ,0.024,,0.23,249.718
,,1.1,0.13,0,0.16, ,,,0.024, ,,0.23,248.734
,,1.15,0.12,0,,0.053,,, ,0.022,,0.22,248.822
,,1.18,0.11,0,,0.05,,,0.021, ,,0.22,248.375
,,1.25,0.1,0.51,,,,, ,0.03,,0.24,248.98
,,1.2,0.1,0.5,,,,,0.03, ,,0.24,249.001
,,1.18,0.12,0,0.17,,,, ,0.051,0.136,,248.613
,,1.23,0.11,0,0.176,,,,0.052, ,0.13,,248.677
,,1.1,0.06,0.53,,,,, ,0.05,0.14,,249.833
,,1.15,0.066,0.57,,,,,0.05, ,0.15,,248.859
,,1.13,0.11,0,0.16,,0.1,, ,0.02,,,249.608
,,1.13,0.11,0,0.16,,0.1,,0.02, ,,,249.089
,,1.34,0.082,0,0.16,, ,0.42, ,0.025,,,249.156
,,1.4,0.09,0,0.17,, ,0.42,0.022, ,,,249.783
,,1.42,0.08,0.64,,,0.114, , ,0.042,,,249.243
,,1.4,0.08,0.64,,,0.11, ,0.044, ,,,248.45
,,1.34,0.114,0.66,,,,0.38, ,0.068,,,248.534
,,1.33,0.114,0.65,,,,0.42,0.06, ,,,249.542
,,1.64,,0,0.22,,,0.46, , ,,,248.24
,,1.62,,0.72,,,,0.5,, ,,,248.7
,,1.57,,0.81,,,, ,,0.34,,,248.32
,,1.44,,0,0.17,,, ,, ,,0.226,247.3
0.34,,,0.23,0.84,,,,0.54,, ,, ,243.79
0.12,,,0.39,0.73,,,, ,,0.35,, ,248.95
,0.5,,0.25,0,0.25,,0.13, ,, ,, ,249.48
,0.46,,0.19,0,,0.063,, ,, ,,0.24,250.59
,,2.01,,0.68,,,, ,, ,0.22, ,248.864
,0.89,,,0.71,,,, ,, ,,0.335,247.127
,0.935,,,0.92,,,,0.28,,0.15,, ,248.683
,,1.9,,0.7,,,,0.36,0.14, ,, ,248.323
,0.95,,,0.92,,,, , ,0.18,,0.15,248.016
,,1.65,,0.63,,,, , ,0.12,,0.18,247.475
,,1.67,,0.59,,,0.05, , , ,,0.21,248.723
0.305,,,0.75,0,0.26,,,0.48, ,0.06,, ,245.01
0.313,,,0.7,0.725,,,,0.46,0.09, ,, ,245.441
,0.75,,0.6,0,0.265,,,0.41,0.12, ,, ,249.968
,0.775,,0.46,0.78,,,,0.41, ,0.095,, ,249.049
,0.85,,0.4,0.9,,,, , ,0.21,0.09, ,246.917
