Date,Open,Close,High,Low
2025-11-21,255000,259500,261000,254500
2025-11-20,267000,262000,267500,262000
2025-11-19,272000,264000,272000,261500
2025-11-18,269000,264500,271500,263500
2025-11-17,275500,271500,275500,271500
2025-11-14,272500,272500,278000,272000
2025-11-13,273000,278500,279000,272500
2025-11-12,271500,275500,278500,269500
2025-11-11,272500,269000,274000,267500
2025-11-10,266500,270500,274000,265000
2025-11-07,261000,264000,267000,259500
2025-11-06,274500,269000,275000,264500
2025-11-05,270000,268500,271500,259000
2025-11-04,286500,276000,288500,276000
2025-11-03,297500,291500,298000,288000
2025-10-31,273500,290000,294000,270500
2025-10-30,287500,265000,289500,263000
2025-10-29,254500,258000,259500,251000
2025-10-28,253500,250500,253500,249000
2025-10-27,253500,254500,259500,253000
2025-10-24,253500,252500,254000,248000
2025-10-23,256500,252000,258500,251000
2025-10-22,265000,261000,265000,254500
2025-10-21,252000,256500,267000,251500
2025-10-20,251500,248000,252000,241500
2025-10-17,241000,243000,246000,239500
2025-10-16,237000,242000,245000,234000
2025-10-15,223000,223500,224000,220000
2025-10-14,218500,223000,225000,218000
2025-10-13,214500,218500,219500,214000
2025-10-10,219000,217000,220250,216500
2025-10-02,216500,220000,223000,216500
2025-10-01,215500,215500,217000,215000
2025-09-30,214000,215000,216000,214000
2025-09-29,215500,215000,216500,214000
2025-09-26,215000,214500,215500,213000
2025-09-25,217000,217000,217500,215500
2025-09-24,218000,217500,219500,216500
2025-09-23,217500,219000,220000,217500
2025-09-22,215000,218000,219000,214500
2025-09-19,218000,214000,218500,212000
2025-09-18,216500,218500,218500,215000
2025-09-17,216000,216000,216500,215000
2025-09-16,216000,215000,216500,215000
2025-09-15,221500,215000,221500,215000
2025-09-12,222500,223500,224000,220500
2025-09-11,221500,223000,223000,219000
2025-09-10,219500,220500,222000,219000
2025-09-09,219500,219000,220500,218500
2025-09-08,218000,218500,218500,215500
2025-09-05,222000,220000,222500,219500
2025-09-04,221000,221500,221500,219500
2025-09-03,218500,221500,223500,218500
2025-09-02,221000,220000,221000,217000
2025-09-01,220500,220500,223000,219000
2025-08-29,223000,220000,224500,218500
2025-08-28,218500,222000,225000,218000
2025-08-27,219000,220000,221000,218500
2025-08-26,220500,218500,222000,217500
2025-08-25,221500,222000,222000,217500
2025-08-22,222000,220000,223500,219500
2025-08-21,221000,221500,224500,220500
2025-08-20,218500,220500,222000,217500
2025-08-19,216500,219000,219000,215000
2025-08-18,217500,216500,218000,215000
2025-08-14,216000,217500,219000,216000
2025-08-13,215500,216000,216000,214000
2025-08-12,212000,213000,216000,211500
2025-08-11,213000,212500,213500,211500
2025-08-08,212500,212500,214000,211500
2025-08-07,213500,212500,215000,211000
2025-08-06,209000,210500,211500,208500
2025-08-05,213000,210500,215000,209500
2025-08-04,210000,211000,212500,207000
2025-08-01,211000,210000,215500,210000
2025-07-31,233000,213000,233000,212000
2025-07-30,215500,223000,228000,215500
2025-07-29,217500,218000,218500,214000
2025-07-28,221500,218500,222500,216000
2025-07-25,215000,216500,221000,214000
2025-07-24,221000,217500,225500,214500
2025-07-23,213000,222000,223000,213000
2025-07-22,209000,206500,209500,204500
2025-07-21,209500,209000,210500,208000
2025-07-18,210000,210500,212500,208500
2025-07-17,208500,210000,212000,205500
2025-07-16,211000,207500,211000,207500
2025-07-15,217000,211000,217500,209500
2025-07-14,208500,217000,218000,208000
2025-07-11,209000,208000,211500,207500
2025-07-10,210000,208000,211500,205500
2025-07-09,208500,209500,209500,205500
2025-07-08,207000,211000,211500,205500
2025-07-07,210000,208500,210500,207000
2025-07-04,214500,210500,216500,210000
2025-07-03,215000,214500,217000,211500
2025-07-02,215000,213500,218000,210000
2025-07-01,204000,210000,214500,203500
2025-06-30,204500,203500,207000,203500
2025-06-27,211000,205000,211000,203000
2025-06-26,214500,209500,215000,208000
2025-06-25,206500,217000,221500,206000
2025-06-24,206500,206000,208000,203000
2025-06-23,205500,201500,206000,200500
2025-06-20,208000,210000,210500,205500
2025-06-19,209500,207000,211500,205500
2025-06-18,202500,206000,207000,200500
2025-06-17,202500,205000,208000,200500
2025-06-16,198300,201500,202000,196200
2025-06-13,199400,199000,199800,196800
2025-06-12,201500,201500,204500,200500
2025-06-11,199100,201000,201500,199000
2025-06-10,201000,197000,201500,195800
2025-06-09,192900,197800,198400,192300
2025-06-05,186000,189600,193000,186000
2025-06-04,185100,186000,186500,184100
2025-06-02,184600,184000,185500,183100
2025-05-30,187400,185300,187500,185300
2025-05-29,189600,191000,193000,186300
2025-05-28,182400,185900,186300,182400
2025-05-27,180700,181900,181900,180300
2025-05-26,180100,181900,183000,179700
2025-05-23,182400,179900,182500,179300
2025-05-22,187000,182400,187000,181900
2025-05-21,189500,188000,190350,187400
2025-05-20,192800,189500,194100,189500
2025-05-19,193000,191000,193000,190000
2025-05-16,193300,193800,194700,193000
2025-05-15,195200,192900,196900,192200
2025-05-14,197200,197100,198300,194300
2025-05-13,197400,196700,198000,195100
2025-05-12,191900,195800,195800,191400
2025-05-09,191200,189900,193400,189500
2025-05-08,187600,187100,188900,187100
2025-05-07,191400,187600,191400,186500
2025-05-02,190200,189400,190500,188200
2025-04-30,192700,190600,193300,190200
2025-04-29,192700,192800,194000,189700
2025-04-28,188100,189000,190100,187000
2025-04-25,191000,188800,191000,188600
2025-04-24,191100,188900,191200,186500
2025-04-23,188900,190000,190400,187400
2025-04-22,186100,185600,187700,185200
2025-04-21,187500,187300,188800,185500
2025-04-18,182800,187200,188300,181200
2025-04-17,182600,181700,184600,181500
2025-04-16,185200,181700,186400,181300
2025-04-15,185400,187000,189200,183700
2025-04-14,178400,179300,180300,177500
2025-04-11,181800,177500,183000,175800
2025-04-10,191700,187000,192900,186500
2025-04-09,177500,178000,180900,177300
2025-04-08,181400,179200,183800,177500
2025-04-07,184700,179100,185300,178900
2025-04-04,191300,191800,196500,189600
2025-04-03,191000,193800,194500,189100
2025-04-02,198800,196300,199100,195800
2025-04-01,199000,198600,200500,196100
2025-03-31,199900,197200,201000,196800
2025-03-28,208000,205000,209500,202500
2025-03-27,215000,212500,216500,212000
2025-03-26,224000,222000,227500,220500
2025-03-25,228500,220000,229000,218500
2025-03-24,204500,213000,216000,203500
2025-03-21,201500,205000,205000,201000
