Date,Open,Close,High,Low
2025-11-19,61400,60600,61800,59400
2025-11-18,63100,60800,64000,60100
2025-11-17,62900,63900,64400,62200
2025-11-14,63700,62800,65900,62300
2025-11-13,62000,65200,65200,61600
2025-11-12,62400,62000,63500,61600
2025-11-11,63000,62400,64100,61700
2025-11-10,62100,63100,63700,61900
2025-11-07,64000,61900,64500,60600
2025-11-06,64900,65000,66200,62000
2025-11-05,67000,64300,67100,63100
2025-11-04,66400,67600,69000,66100
2025-11-03,69000,67300,69200,65400
2025-10-31,67800,70300,72100,67200
2025-10-30,70500,68900,71700,68700
2025-10-29,73500,73500,76400,72200
2025-10-28,69600,68900,70300,67500
2025-10-27,73500,69100,74400,68400
2025-10-24,57500,66600,68000,56900
2025-10-23,57700,57100,58000,56800
2025-10-22,58500,58900,58900,57300
2025-10-21,58200,58500,60600,58000
2025-10-20,56400,56600,56800,55700
2025-10-17,59800,56000,59800,55800
2025-10-16,62900,61200,62900,60700
2025-10-15,58000,61500,63000,57600
2025-10-14,58600,57600,59100,56300
2025-10-13,55600,58000,58500,54800
2025-10-10,55100,56200,56900,54800
2025-10-02,56100,55500,56300,54500
2025-10-01,54500,56200,57300,54400
2025-09-30,54900,54400,55100,54100
2025-09-29,55300,54800,55300,54300
2025-09-26,55400,54800,56000,54600
2025-09-25,56700,55900,56800,55100
2025-09-24,55800,56400,57400,55400
2025-09-23,56000,55500,56600,55300
2025-09-22,57700,56300,58200,56100
2025-09-19,58000,57000,58300,56200
2025-09-18,58600,58000,58600,57400
2025-09-17,61000,57900,61000,57900
2025-09-16,61000,61500,62700,60900
2025-09-15,60200,60000,60700,59400
2025-09-12,59100,59400,59600,57100
2025-09-11,60000,58700,60200,58700
2025-09-10,59200,59900,60100,58900
2025-09-09,60500,59100,60500,59000
2025-09-08,60200,60100,61300,59800
2025-09-05,59700,59600,59800,59000
2025-09-04,60700,59900,60900,59400
2025-09-03,60100,59800,60200,58900
2025-09-02,60800,60000,61200,59200
2025-09-01,61200,60600,61800,60000
2025-08-29,62300,62100,62400,61500
2025-08-28,61900,62200,62600,61000
2025-08-27,61700,62300,63300,61600
2025-08-26,63200,61700,63300,61500
2025-08-25,64500,64300,65500,63200
2025-08-22,63000,62500,63800,61300
2025-08-21,60100,61100,63000,59400
2025-08-20,58100,58800,59000,54350
2025-08-19,62700,61500,63300,60900
2025-08-18,63200,63900,64200,62500
2025-08-14,63800,63800,64800,62900
2025-08-13,66400,63900,66500,62100
2025-08-12,67000,66000,68100,65600
2025-08-11,68500,66700,69400,65100
2025-08-08,70300,68400,70300,67900
2025-08-07,70900,69600,71000,69100
2025-08-06,68000,71200,71700,66800
2025-08-05,67100,67500,68700,66200
2025-08-04,65000,66000,66500,64000
2025-08-01,66900,65600,67900,65000
2025-07-31,65500,67500,68500,65000
2025-07-30,66900,65200,67200,64300
2025-07-29,65000,65800,66000,63400
2025-07-28,65700,65600,66700,65100
2025-07-25,66200,66800,67000,65000
2025-07-24,66600,66200,68500,65900
2025-07-23,67200,66000,67800,65500
2025-07-22,70000,67100,70100,66000
2025-07-21,71600,70800,71600,67800
2025-07-18,70900,70900,72600,68000
2025-07-17,71800,70600,72000,69900
2025-07-16,73300,71100,73300,70900
2025-07-15,73300,73600,75200,72100
2025-07-14,71300,71200,71600,70000
2025-07-11,73300,72100,74800,71000
2025-07-10,74200,72600,74400,72500
2025-07-09,74300,73800,74900,71900
2025-07-08,72200,73700,74500,71700
2025-07-07,69100,71700,72400,69000
2025-07-04,74100,71300,75500,70700
2025-07-03,74300,73700,75800,72800
2025-07-02,76000,74300,76700,71200
2025-07-01,79000,76800,83900,76300
2025-06-30,80600,78500,81200,78200
2025-06-27,78100,78800,81000,77400
2025-06-26,79000,78900,79800,74600
2025-06-25,77000,81100,85100,76800
2025-06-24,79800,76300,81100,74700
2025-06-23,72900,75500,77600,72600
2025-06-20,77900,75300,77900,74000
2025-06-19,76900,78400,78900,75000
2025-06-18,77800,76700,78700,75000
2025-06-17,81300,78000,81600,76000
2025-06-16,74200,79100,79600,74200
2025-06-13,76700,73600,77000,72700
2025-06-12,74700,76200,78800,74300
2025-06-11,70600,72100,72500,69200
2025-06-10,68900,72000,74000,68900
2025-06-09,67600,68300,69900,65000
2025-06-05,71000,68000,71100,65300
2025-06-04,65500,68800,69600,64500
2025-06-02,61900,65700,66200,61800
2025-05-30,66200,63800,66500,62000
2025-05-29,59600,66900,66900,59600
