Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-01-15,3860,4020,3840,3920,2966.283447,51460000,,
2001-01-16,3960,4200,3850,4140,3132.759277,52065000,,
2001-01-17,4060,4240,4060,4220,3193.294922,52570000,3097.445882,
2001-01-18,4240,4530,4240,4400,3329.501465,57685000,3218.518555,
2001-01-19,4700,4700,4520,4600,3480.842773,54245000,3334.546387,3220.536377
2001-01-22,4600,4600,4470,4550,3443.008057,42250000,3417.784098,3315.881299
2001-01-23,4550,4550,4550,4550,3443.008057,0,3455.619629,3377.931055
2001-01-24,4550,4550,4550,4550,3443.008057,0,3443.008057,3427.873682
2001-01-25,4550,4550,4550,4550,3443.008057,0,3443.008057,3450.575
2001-01-26,4450,4480,3970,3980,3011.686035,91025000,3299.23405,3356.743653
2001-01-29,4000,4100,3960,4020,3041.95459,47245000,3165.549561,3276.532959
2001-01-30,4100,4170,4070,4110,3110.057373,39350000,3054.565999,3209.942822
2001-01-31,4090,4400,4090,4400,3329.501465,53045000,3160.504476,3187.241504
2001-02-01,4270,4420,4190,4270,3231.130615,39730000,3223.563151,3144.866016
2001-02-02,4290,4390,4220,4290,3246.26416,27330000,3268.965413,3191.781641
2001-02-05,4170,4200,3990,4030,3049.521973,47135000,3175.638916,3193.295117
2001-02-06,3980,4020,3910,4010,3034.386963,31545000,3110.057699,3178.161035
2001-02-07,3960,3990,3900,3900,2951.149414,23130000,3011.686117,3102.490625
2001-02-08,3920,4060,3890,4060,3072.222656,34685000,3019.253011,3070.709033
2001-02-09,4040,4100,3980,4070,3079.789063,25230000,3034.387044,3037.414014
2001-02-12,3840,4050,3840,3970,3004.118896,36110000,3052.043538,3028.333398
2001-02-13,4040,4100,3970,3980,3011.686035,22295000,3031.864665,3023.793213
2001-02-14,3920,4040,3900,3980,3011.686035,19710000,3009.163655,3035.900537
2001-02-15,4200,4210,4100,4130,3125.190918,34930000,3049.520996,3046.494189
2001-02-16,4150,4310,4130,4250,3215.99585,46375000,3117.624268,3073.735547
2001-02-19,4180,4210,4100,4190,3170.593994,22880000,3170.593587,3107.030566
2001-02-20,4190,4280,4180,4240,3208.428467,18175000,3198.339437,3146.379053
2001-02-21,4160,4200,4140,4160,3147.892578,19500000,3175.638346,3173.620361
2001-02-22,4080,4100,3940,4010,3034.386963,43605000,3130.236003,3155.45957
2001-02-23,3920,3970,3830,3840,2905.747314,76855000,3029.342285,3093.409863
2001-02-26,3850,3860,3780,3840,2905.747314,35665000,2948.627197,3040.440527
2001-02-27,3840,3940,3790,3790,2867.911865,38695000,2893.135498,2972.337207
2001-02-28,3700,3780,3700,3740,2830.076416,28715000,2867.911865,2908.773974
2001-03-01,3740,3740,3740,3740,2830.076416,0,2842.688232,2867.911865
2001-03-02,3700,3700,3580,3610,2731.704834,44500000,2797.285889,2833.103369
2001-03-05,3530,3720,3530,3720,2814.942383,24620000,2792.241211,2814.942383
2001-03-06,3820,3850,3760,3800,2875.478516,25500000,2807.375244,2816.455713
2001-03-07,3960,4010,3900,4000,3026.81958,52640000,2905.746826,2855.804346
2001-03-08,3950,4010,3910,4010,3034.386963,31360000,2978.89502,2896.666455
2001-03-09,3940,3940,3820,3840,2905.747314,30800000,2988.984619,2931.474951
2001-03-12,3700,3760,3650,3670,2777.106934,38610000,2905.74707,2923.907861
2001-03-13,3570,3650,3540,3640,2754.406006,33815000,2812.420085,2899.693359
2001-03-14,3640,3640,3640,3640,2754.406006,0,2761.972982,2845.210645
2001-03-15,3790,3930,3760,3920,2966.283447,29370000,2825.03182,2831.589941
2001-03-16,3880,3920,3830,3890,2943.582031,23315000,2888.090495,2839.156885
2001-03-19,3810,3880,3770,3800,2875.478516,24865000,2928.447998,2858.831201
2001-03-20,3900,3920,3820,3820,2890.613037,21455000,2903.224528,2886.072607
2001-03-21,3720,3900,3700,3870,2928.447998,40550000,2898.17985,2920.881006
2001-03-22,3980,3990,3920,3980,3011.686035,37465000,2943.582357,2929.961523
2001-03-23,4090,4370,4080,4300,3253.832031,91755000,3064.655355,2992.011523
2001-03-26,4400,4430,4340,4340,3284.100098,42870000,3183.206055,3073.73584
2001-03-27,4300,4310,4120,4150,3140.325439,31345000,3226.085856,3123.67832
2001-03-28,4260,4260,4150,4150,3140.325439,26075000,3188.250325,3166.053808
2001-03-29,4090,4180,4040,4090,3094.923584,29920000,3125.191487,3182.701318
2001-03-30,4110,4170,4040,4160,3147.892578,30100000,3127.713867,3161.513428
2001-04-02,4040,4100,3960,3990,3019.252441,39140000,3087.356201,3108.543896
2001-04-03,3810,3870,3790,3800,2875.478516,46070000,3014.207845,3055.574512
2001-04-04,3700,3740,3630,3660,2769.540527,62280000,2888.090495,2981.417529
2001-04-05,3660,3660,3660,3660,2769.540527,0,2804.85319,2916.340918
2001-04-06,3960,3960,3780,3840,2905.747314,85290000,2814.942789,2867.911865
2001-04-09,3790,3810,3710,3710,2807.375,25840000,2827.55428,2825.536377
2001-04-10,3710,3740,3610,3640,2754.406006,39175000,2822.50944,2801.321875
2001-04-11,3780,3800,3720,3720,2814.942383,44515000,2792.24113,2810.402246
2001-04-12,3940,4090,3900,4010,3034.386963,73660000,2867.911784,2863.371533
2001-04-13,4100,4150,4030,4060,3072.222656,38840000,2973.850667,2896.666602
2001-04-16,4060,4080,3940,3940,2981.417725,10200000,3029.342448,2931.475147
2001-04-17,3920,4020,3850,3970,3004.118896,16815000,3019.253092,2981.417725
2001-04-18,4110,4280,4070,4280,3238.696777,47790000,3074.744466,3066.168603
2001-04-19,4620,4920,4580,4700,3556.513672,131305000,3266.443115,3170.593945
2001-04-20,4720,4780,4490,4490,3397.605225,44905000,3397.605225,3235.670459
2001-04-23,4490,4610,4470,4540,3435.439941,31785000,3463.186279,3326.474902
2001-04-24,4410,4420,4330,4400,3329.501465,31185000,3387.515544,3391.551416
2001-04-25,4340,4520,4320,4520,3420.306152,26345000,3395.082519,3427.873291
2001-04-26,4340,4520,4320,4520,3420.306152,26345000,3390.037923,3400.631787
2001-04-27,4410,4450,4310,4340,3284.100098,21695000,3374.904134,3377.930762
2001-04-30,4460,4620,4410,4580,3465.708984,38225000,3390.038411,3383.98457
2001-05-01,4580,4580,4580,4580,3465.708984,0,3405.172689,3411.226074
2001-05-02,4700,4700,4540,4580,3465.708984,36510000,3465.708984,3420.30664
2001-05-03,4620,4620,4490,4600,3480.842773,25895000,3470.75358,3432.413965
2001-05-04,4410,4510,4410,4460,3374.904297,32805000,3440.485351,3450.574804
2001-05-07,4500,4630,4480,4600,3480.842773,17945000,3445.529948,3453.601562
2001-05-08,4590,4620,4520,4590,3473.275879,16825000,3443.00765,3455.114941
2001-05-09,4560,4580,4490,4500,3405.172363,20695000,3453.097005,3443.007617
2001-05-10,4500,4560,4440,4500,3405.172363,24620000,3427.873535,3427.873535
2001-05-11,4460,4470,4400,4410,3337.068359,27705000,3382.471028,3420.306347
2001-05-14,4420,4460,4400,4430,3352.203125,14310000,3364.814616,3394.578418
2001-05-15,4410,4450,4290,4340,3284.100098,26420000,3324.457194,3356.743262
2001-05-16,4300,4370,4200,4210,3185.727295,25895000,3274.010173,3312.854248
2001-05-17,4400,4430,4340,4430,3352.203125,24105000,3274.010173,3302.2604
2001-05-18,4380,4420,4340,4410,3337.068359,18915000,3291.66626,3302.2604
2001-05-21,4500,4620,4430,4580,3465.708984,28160000,3384.993489,3324.961572
2001-05-22,4720,4780,4620,4620,3495.977295,48830000,3432.918213,3367.337012
2001-05-23,4600,4760,4580,4700,3556.513672,21890000,3506.06665,3441.494287
2001-05-24,4560,4600,4510,4530,3427.874023,30275000,3493.454997,3456.628467
2001-05-25,4550,4650,4430,4440,3359.769531,33695000,3448.052409,3461.168701
2001-05-28,4420,4480,4380,4450,3367.336914,18480000,3384.993489,3441.494287
